Name,Side,Source,Ability,Effect,Receives,Reach,Lasts,Condition,Values_D3,Needs_Review,Notes,Ability_Text
Roswitha,Attack,Active,Brazier of Holy Fire,takenpct:extraDmgPct:all:vs=Daemon,all,target,2 rounds,active,L36: +50% damage taken [vs Daemon] | L50: +60% damage taken [vs Daemon],N,Only against Daemons. Immune Daemons take less (not modelled).,Deals {[nrOfHits]}x {[minDmg]}-{[maxDmg]} Flame Damage to a target enemy within range {[range]} and sets its hex on Fire. Deals {[nrOfHits_2]}x {[minDmg]}-{[maxDmg]} Flame Damage vs Daemons instead. ALL Daemons within {[range_2]} hexes of the target take +{[extraDmgPct]}% Extra Damage this round and the next. Immune Daemons only take +{[extraDmgPct_2]}% Extra Damage.
Snappawrecka,Attack,Passive,Power Trip,armour:armorReduction,all,target,battle,always,L36: -169 enemy Armour | L50: -499 enemy Armour,N,"Only while he is at full health, so in practice his first attack: one reduction counted.","Normal attacks ignore {[armorIgnored]} Armour. If Snappawrecka is at full Health, his normal attacks additionally score +{[extraHit]} hit and reduce the target's Armour by {[armorReduction]} Armour, but also cause Snappawrecka to lose {[hpPct]}% of his maximum Health."
Sword Brother Godswyl,Attack,Passive,Champion Of The Feast,armour:armorReduction:all:trigmult=2,all,target,battle,always,L36: -337 enemy Armour (x2 in All triggered) | L50: -997 enemy Armour (x2 in All triggered),N,"Triggers every turn and stacks for the rest of the battle. One reduction in Always-on, two in All triggered (owner agreed).","After moving, deals {[nrOfHits]}x {[minDmg]}-{[maxDmg]} Power Damage to an adjacent enemy and reduces this enemy's Armour by {[armorReduction]} Armour for the rest of the battle. If Sword Brother Godswyl does not move, then this ability triggers at the end of his turn."
Tan Gi'da,Attack,Active,Doctrina Imperatives,flat:extraDmg@trig,Mechanical,adjacent,battle,active,L36: +270 Damage [All triggered] | L50: +797 Damage [All triggered],N,"Conqueror Imperative: only against enemies with reduced Armour (e.g. after Godswyl or Havyr), so All triggered only. Protector is Defence side.",Tan Gi’da switches between two Imperatives that affect him and all friendly adjacent Mechanical units: Protector Imperative: Affected units have +{[extraArmor]} Armour. Conqueror Imperative: Affected units deal +{[extraDmg]} Damage against units with reduced Armour. This ability can be used once per turn instead of once per battle; each use switches the active Imperative. Tan Gi’da can attack after using this ability. Only the first use of this ability each battle counts as using an active ability.
Thaddeus Noble,Attack,Passive,Spotter,flat:extraDmg:ranged:who=!HeavyWeapon; flat:extraDmg_2:ranged:who=HeavyWeapon,all,2 hexes,battle,always,"L36: +169 Damage [ranged, who !HeavyWeapon]; +337 Damage [ranged, who HeavyWeapon] | L50: +499 Damage [ranged, who !HeavyWeapon]; +997 Damage [ranged, who HeavyWeapon]",N,Ranged attacks only; Heavy Weapon allies get the bigger bonus instead.,Other friendly units within {[range]} hexes deal +{[extraDmg]} Damage with ranged attacks. Affected units with Heavy Weapon deal +{[extraDmg_2]} Damage with ranged attacks instead.
Thothmek,Attack,Active,Chronometron,taken:extraDmg:all:who=!Mechanical; taken:extraDmg_2:all:who=Mechanical,all,next attack,next attack,active,"L36: +304 Damage taken [who !Mechanical]; +405 Damage taken [who Mechanical] | L50: +898 Damage taken [who !Mechanical]; +1,197 Damage taken [who Mechanical]",N,The next attack against each enemy within 2 hexes. The Suppress is Defence side.,"All enemy units within range {[range]} are Suppressed for {[nrOfRounds]} round. Affected Summons are Stunned instead. All enemies within range {[range]} take +{[extraDmg]} Damage from the next attack made by a unit against them, or +{[extraDmg_2]} Damage if the attacker is Mechanical."
Trajann,Attack,Passive,Legendary Commander,taken:extraDmg; hits:nrOfHits:ability,all,target,turn,active,"L36: +371 Damage taken; +2 hit(s) [ability] | L50: +1,096 Damage taken; +2 hit(s) [ability]",N,"Needs an ally next to the enemy to have used an active this turn, so it is counted when the Active switch is on (and needs Trajann next to the enemy for the extra hits on actives) (owner agreed).","Enemies receive +{[extraDmg]} Damage if they are adjacent to any friendly unit that has used an active ability this turn. If the affected enemies are also adjacent to Trajann, friendly Characters score {[nrOfHits]} additional hits against them with their first attack that is not a normal attack."
Uthar,Attack,Passive,Grim Efficiency,armignore:armorIgnored,all,2 hexes,battle,always,L36: +169 Armour ignored | L50: +499 Armour ignored,N,Hostile Acquisition stance for attack (owner decision); Fortify Takeover is Defence side.,Ûthar switches between two stances that affect him and all friendly units within {[range]} hexes: Fortify Takeover: Attacks against affected units have to go through an Armour value of {[extraArmor]} an additional time. Hostile Acquisition: Affected units ignore {[armorIgnored]} Armour with all attacks. The stance switches whenever Ûthar uses his active ability or traverses {[movement]} or more hexes during his turn.
Vitruvius,Attack,Passive,Master Annihilator,hits:nrOfHits:all:notype=Psychic:cap=maxDmg,all,target,battle,always,"L36: +1 hit(s) (max 2,529 a hit) [notype Psychic] | L50: +1 hit(s) (max 7,477 a hit) [notype Psychic]",N,"One extra hit on every non-Psychic attack against his target, capped. Needs the support to hit the target first; counted as always, since the team focuses one enemy (owner, September 2026).","When Vitruvius performs a normal attack against an enemy, that enemy is affected by Master Annihilator until Vitruvius is defeated or performs a normal attack against a different unit. Attacks by any friendly unit against the affected enemy score an additional hit, except attacks that deal Psychic Damage. This additional hit can deal a maximum of {[maxDmg]} Damage."
Xybia,Attack,Active,Mind Control,takenpct:extraDmgPct,all,target,2 rounds,active,L36: +20% damage taken | L50: +20% damage taken,N,The target takes +20% damage. Its -Damage and Taunt are Defence side.,"Targets an enemy unit within {[range]} hexes that is adjacent to one or more friendly units. For this round and the next, that enemy unit deals -{[dmgReduction]} Damage, takes +{[extraDmgPct]}% Damage, and becomes Taunted by the adjacent unit with the highest current Health."
Yazaghor,Attack,Active,Sorcerous Facade,extra:1xPsychic(minDmg-maxDmg):normal,Psyker,one,until his next turn,active,"L36: +1x Psychic 506 [normal] | L50: +1x Psychic 1,497 [normal]",N,One friendly Psyker gets an extra Psychic hit on normal attacks.,"Target a friendly Psyker. Until the beginning of Yazaghor's next turn both he and the target deal an additional {[nrOfHits]}x {[minDmg]}-{[maxDmg]} Psychic Damage with their normal attacks. Yazaghor performs a normal attack against the closest enemy unit, and then switches positions with the targeted Psyker. Note: this ability can only be used if Yazaghor has an enemy in range."
Nicodemus,Attack,Relic,Chalice of Baal,flat:extraDmg:normal-melee@trig,all,adjacent,turn,trig,"Mythic relic: +728 Damage [normal-melee, All triggered]",N,Chalice of Baal (Mythic). Only after a unit next to Nicodemus dies.,"The first time each turn that any unit adjacent to Nicodemus dies, he heals himself and all friendly adjacent units for {[hp]} Health. All affected units deal +{[extraDmg]} Damage with normal melee attacks until the end of this turn."
Neurothrope,Attack,Relic,Norn Crown,flat:extraDmg@trig,Psyker,2 hexes,battle,trig,"Mythic relic: +1,308 Damage [All triggered]",N,Norn Crown (Mythic). Only against enemies affected by Neuroparasite; Synapse range counted as 2 hexes (owner agreed).,The maximum level of Neuroparasite is increased by {[effectLevel]}. Other friendly Psykers within Synapse range and friendly Summons within Synapse range deal +{[extraDmg]} Damage to enemies that are affected by Neuroparasite.
Azrael,Attack,Passive,Lion Helm,,all,2 hexes,battle,always,,N,"Not counted: the +Damage is for Overwatch attacks, which the model has no Overwatch for. The Block parts are Defence side.",Friendly units within {[range]} hexes block an additional {[blockDmg]} Damage when they Block and deal +{[extraDmg]} Damage with attacks triggered by Overwatch. Other friendly Dark Angels within {[range]} hexes also have their Block chance increased by +{[blockChance]}%
Darkstrider,Attack,Active,Fighting Retreat,,all,adjacent,turn,active,,N,"Not counted on the Attack side: it lets adjacent Ranged Specialist allies use the trait while next to an enemy, which All triggered already assumes. The enemy -hits/-Damage is Defence side.","Adjacent enemies gain a Markerlight. They also have {[hitsReduction]} fewer hits, to a minimum of one, and deal -{[dmgReduction]} Damage for one round. Until the end of this turn, Darkstrider and adjacent allied units with the Ranged Specialist trait gain the effect of the trait even if they started their turn adjacent to an enemy unit. Using Fighting Retreat does not end Darkstrider's turn if he is adjacent to an enemy, and he can move again if already moved in this turn."
Sho'syl,Attack,Passive,MV71 Sniper Drone Squad,,all,target,battle,always,,N,Not counted: the Markerlight only matters with Darkstrider (and Re'vas's own passive). OWNER: count Markerlight combos later?,"Instead of a ranged attack, Sho'syl summons a MV71 Sniper Drone and commands it to attack the target. This attack uses Sho'syl's Damage stat, while other effects, like buffs, are taken from the Drone. If Sho'syl already controls {[maxSummons]} MV71 Sniper Drones, the one with the lowest Health is removed before the new Drone is summoned. The target also gains a Markerlight until the end of Sho'syl's next turn. MV71 Sniper Drones' stats: {[summonHp]} Health {[summonDmg]} Damage {[summonArmor]} Armour"
Laviscus,Attack,Passive,Refusal to be Outdone,,,,,,,N,"Not a support: Outrage turns his teammates' hits into his own damage. It belongs on a ""who benefits from a team"" view, not here (see PLAN.md).","Friendly characters attacking enemies adjacent to Laviscus increase his Outrage equal to the highest damage dealt by any of their non-psychic hits this turn. Laviscus' Damage stat is increased by {[extraDmgPct]}% of his Outrage and his normal attacks deal an additional +{[extraCritDmg]} Crit Damage for each friendly Chaos character that increased his Outrage this turn. At the end of his turn or after Laviscus performs a normal attack, his Outrage resets."
Actus,Defence,Trait,Repair action,regen:healaction,Mechanical|LivingMetal,one,every turn,always,"D3: +4,796 health every turn",N,"Mechanic trait: repairs one Mechanical ally every turn for their Damage x their most hits. It costs their attack, counted as always, like the Attack side's heal-and-repair supports (owner, September 2026).","Can repair a friendly Mechanical unit as its action.
The amount of Health restored equals the Mechanic's Damage multiplied by the highest number of hits of any of their weapons."
Aesoth,Defence,Trait,Big Target,hitsless:1:ranged,all,adjacent,battle,always,D3: -1 hit (ranged),N,Big Target trait: allies next to them take one hit fewer from ranged attacks (minimum 1).,"Due to its size, this unit benefits less from cover but also provides some obstruction to enemy sighting. Does not get any bonuses from Tall Grass and Trenches. Adjacent friendly units receive -1 hit from ranged attacks, to a minimum of 1. Cannot be displaced."
Aleph-Null,Defence,Trait,Repair action,regen:healaction,Mechanical|LivingMetal,one,every turn,always,"D3: +5,754 health every turn",N,"Mechanic trait: repairs one Mechanical ally every turn for their Damage x their most hits. It costs their attack, counted as always, like the Attack side's heal-and-repair supports (owner, September 2026).","Can repair a friendly Mechanical unit as its action.
The amount of Health restored equals the Mechanic's Damage multiplied by the highest number of hits of any of their weapons."
Baldr,Defence,Trait,Heal action,regen:healaction,!Mechanical|LivingMetal,one,every turn,always,"D3: +7,195 health every turn",N,"Healer trait: heals one ally every turn for their Damage x their most hits. It costs their attack, counted as always, like the Attack side's heal-and-repair supports (owner, September 2026).","Can heal a friendly unit as its action.
The amount of Health restored equals the Healer’s Damage multiplied by the highest number of hits of any of their weapons."
Boss Gulgortz,Defence,Trait,Big Target,hitsless:1:ranged,all,adjacent,battle,always,D3: -1 hit (ranged),N,Big Target trait: allies next to them take one hit fewer from ranged attacks (minimum 1).,"Due to its size, this unit benefits less from cover but also provides some obstruction to enemy sighting. Does not get any bonuses from Tall Grass and Trenches. Adjacent friendly units receive -1 hit from ranged attacks, to a minimum of 1. Cannot be displaced."
Commander Farsight,Defence,Trait,Big Target,hitsless:1:ranged,all,adjacent,battle,always,D3: -1 hit (ranged),N,Big Target trait: allies next to them take one hit fewer from ranged attacks (minimum 1).,"Due to its size, this unit benefits less from cover but also provides some obstruction to enemy sighting. Does not get any bonuses from Tall Grass and Trenches. Adjacent friendly units receive -1 hit from ranged attacks, to a minimum of 1. Cannot be displaced."
Gibbascrapz,Defence,Trait,Repair action,regen:healaction,Mechanical|LivingMetal,one,every turn,always,"D3: +9,584 health every turn",N,"Mechanic trait: repairs one Mechanical ally every turn for their Damage x their most hits. It costs their attack, counted as always, like the Attack side's heal-and-repair supports (owner, September 2026).","Can repair a friendly Mechanical unit as its action.
The amount of Health restored equals the Mechanic's Damage multiplied by the highest number of hits of any of their weapons."
Hollan,Defence,Trait,Heal action,regen:healaction,!Mechanical|LivingMetal,one,every turn,always,"D3: +3,450 health every turn",N,"Healer trait: heals one ally every turn for their Damage x their most hits. It costs their attack, counted as always, like the Attack side's heal-and-repair supports (owner, September 2026).","Can heal a friendly unit as its action.
The amount of Health restored equals the Healer’s Damage multiplied by the highest number of hits of any of their weapons."
Incisus,Defence,Trait,Heal action,regen:healaction,!Mechanical|LivingMetal,one,every turn,always,"D3: +4,408 health every turn",N,"Healer trait: heals one ally every turn for their Damage x their most hits. It costs their attack, counted as always, like the Attack side's heal-and-repair supports (owner, September 2026).","Can heal a friendly unit as its action.
The amount of Health restored equals the Healer’s Damage multiplied by the highest number of hits of any of their weapons."
Isabella,Defence,Trait,Heal action,regen:healaction,!Mechanical|LivingMetal,one,every turn,always,"D3: +5,752 health every turn",N,"Healer trait: heals one ally every turn for their Damage x their most hits. It costs their attack, counted as always, like the Attack side's heal-and-repair supports (owner, September 2026).","Can heal a friendly unit as its action.
The amount of Health restored equals the Healer’s Damage multiplied by the highest number of hits of any of their weapons."
Kut Skoden,Defence,Trait,Big Target,hitsless:1:ranged,all,adjacent,battle,always,D3: -1 hit (ranged),N,Big Target trait: allies next to them take one hit fewer from ranged attacks (minimum 1).,"Due to its size, this unit benefits less from cover but also provides some obstruction to enemy sighting. Does not get any bonuses from Tall Grass and Trenches. Adjacent friendly units receive -1 hit from ranged attacks, to a minimum of 1. Cannot be displaced."
Morvenn Vahl,Defence,Trait,Big Target,hitsless:1:ranged,all,adjacent,battle,always,D3: -1 hit (ranged),N,Big Target trait: allies next to them take one hit fewer from ranged attacks (minimum 1).,"Due to its size, this unit benefits less from cover but also provides some obstruction to enemy sighting. Does not get any bonuses from Tall Grass and Trenches. Adjacent friendly units receive -1 hit from ranged attacks, to a minimum of 1. Cannot be displaced."
Nauseous Rotbone,Defence,Trait,Heal action,regen:healaction,!Mechanical|LivingMetal,one,every turn,always,"D3: +5,376 health every turn",N,"Healer trait: heals one ally every turn for their Damage x their most hits. It costs their attack, counted as always, like the Attack side's heal-and-repair supports (owner, September 2026).","Can heal a friendly unit as its action.
The amount of Health restored equals the Healer’s Damage multiplied by the highest number of hits of any of their weapons."
Nicodemus,Defence,Trait,Heal action,regen:healaction,!Mechanical|LivingMetal,one,every turn,always,"D3: +6,615 health every turn",N,"Healer trait: heals one ally every turn for their Damage x their most hits. It costs their attack, counted as always, like the Attack side's heal-and-repair supports (owner, September 2026).","Can heal a friendly unit as its action.
The amount of Health restored equals the Healer’s Damage multiplied by the highest number of hits of any of their weapons."
Re'vas,Defence,Trait,Big Target,hitsless:1:ranged,all,adjacent,battle,always,D3: -1 hit (ranged),N,Big Target trait: allies next to them take one hit fewer from ranged attacks (minimum 1).,"Due to its size, this unit benefits less from cover but also provides some obstruction to enemy sighting. Does not get any bonuses from Tall Grass and Trenches. Adjacent friendly units receive -1 hit from ranged attacks, to a minimum of 1. Cannot be displaced."
Snappawrecka,Defence,Trait,Big Target,hitsless:1:ranged,all,adjacent,battle,always,D3: -1 hit (ranged),N,Big Target trait: allies next to them take one hit fewer from ranged attacks (minimum 1).,"Due to its size, this unit benefits less from cover but also provides some obstruction to enemy sighting. Does not get any bonuses from Tall Grass and Trenches. Adjacent friendly units receive -1 hit from ranged attacks, to a minimum of 1. Cannot be displaced."
Tyrant Guard,Defence,Trait,Big Target,hitsless:1:ranged,all,adjacent,battle,always,D3: -1 hit (ranged),N,Big Target trait: allies next to them take one hit fewer from ranged attacks (minimum 1).,"Due to its size, this unit benefits less from cover but also provides some obstruction to enemy sighting. Does not get any bonuses from Tall Grass and Trenches. Adjacent friendly units receive -1 hit from ranged attacks, to a minimum of 1. Cannot be displaced."
Vitruvius,Defence,Trait,Repair action,regen:healaction,Mechanical|LivingMetal,one,every turn,always,"D3: +4,794 health every turn",N,"Mechanic trait: repairs one Mechanical ally every turn for their Damage x their most hits. It costs their attack, counted as always, like the Attack side's heal-and-repair supports (owner, September 2026).","Can repair a friendly Mechanical unit as its action.
The amount of Health restored equals the Mechanic's Damage multiplied by the highest number of hits of any of their weapons."
Volk,Defence,Trait,Big Target,hitsless:1:ranged,all,adjacent,battle,always,D3: -1 hit (ranged),N,Big Target trait: allies next to them take one hit fewer from ranged attacks (minimum 1).,"Due to its size, this unit benefits less from cover but also provides some obstruction to enemy sighting. Does not get any bonuses from Tall Grass and Trenches. Adjacent friendly units receive -1 hit from ranged attacks, to a minimum of 1. Cannot be displaced."
Vynn,Defence,Trait,Repair action,regen:healaction,Mechanical|LivingMetal,one,every turn,always,"D3: +7,195 health every turn",N,"Mechanic trait: repairs one Mechanical ally every turn for their Damage x their most hits. It costs their attack, counted as always, like the Attack side's heal-and-repair supports (owner, September 2026).","Can repair a friendly Mechanical unit as its action.
The amount of Health restored equals the Mechanic's Damage multiplied by the highest number of hits of any of their weapons."
Actus,Defence,Active,Defend The Divine Work,heal:hpToRepair,Mechanical|LivingMetal,adjacent,once,active,"L36: +2,023 health once | L50: +5,983 health once",N,Repairs himself and every adjacent Mechanical ally.,Repairs himself and all friendly adjacent units {[hpToRepair]} Health.
Aesoth,Defence,Passive,Stand Vigil,armour:extraArmor,all,adjacent,battle,always,L36: +135 Armour | L50: +400 Armour,N,+Armour for everyone next to him. The +25% active damage is on the Attack side.,"Friendly surrounding units have +{[extraArmor]} Armour and deal +{[extraDmgPct]}% Damage with attacks that are not normal attacks. If a friendly Adeptus Custodes uses an Active Ability, Stand Vigil affects all other friendly units within {[range]} hexes for 1 round."
Aleph-Null,Defence,Passive,Fabricator Claw Array,regen:hpToRepair,Mechanical|LivingMetal,one,every turn,always,"L36: +1,348 health every turn | L50: +3,989 health every turn",N,"Repairs one adjacent Mechanical ally every turn, on top of his repair action.","After moving, repairs one random adjacent friendly Mechanical unit for {[hpToRepair]} Health. If Aleph-Null does not move, then this ability triggers at the end of its turn."
Ancient Thoread,Defence,Active,Unbreakable Duty,pct:dmgReductionPct,all,2 hexes,1 round,active,L36: -33% damage taken | L50: -33% damage taken,N,-33% damage for everyone within 2 hexes until their next turn (one enemy turn).,"Ancient Thoread and all friendly units within {[range]} hexes receive -{[dmgReductionPct]}% Damage until the start of their next turn. If 2 or more friendly Imperial Characters are dead upon activation of this ability, Ancient Thoread gains {[extraHp]} extra Health and +{[extraDmg]} Damage until the end of the battle and immediately performs a normal attack against an adjacent enemy."
Anuphet,Defence,Active,Resurrection Orb,revivepct:hpPct,Mechanical|LivingMetal,one,once,active,L36: 80% of their health back once | L50: 80% of their health back once,Y,"Brings back a fallen Mechanical character at 80% health (the summoned Necron Warriors are not counted). Counted as that ally getting 80% of their health again, once. OWNER: agree?","Resurrects a random friendly Mechanical character in a free adjacent hex and additionally summons Necron Warriors in free adjacent hexes. Summons one Necron Warrior for each round that has passed and for each friendly Mechanical unit that was defeated in this battle, up to a maximum of {[maxSummons]} Necron Warriors. Units are resurrected and summoned with {[hpPct]}% Health. Necron Warrior’s stats: {[summonHp]} Health {[summonDmg]} Damage {[summonArmor]} Armour"
Asmodai,Defence,Active,Exemplar of Hate,suppress:one:vs=Chaos,all,team,1 round,active,L36: suppresses one enemy (vs Chaos) | L50: suppresses one enemy (vs Chaos),N,Suppresses the marked enemy if it is Chaos: one enemy attack weakened. The +Damage is on the Attack side.,"Targets an enemy on the battlefield. For this round and the next, all friendly units deal +{[extraDmg]} Damage against that enemy with melee or Overwatch attacks. If that enemy is Chaos, it gets Suppressed and Asmodai or another friendly Dark Angel immediately performs a normal attack against the target, dealing {[dmgPct]}% of its own damage, to a maximum of {[maxDmg]} Damage per hit."
Atlacoya,Defence,Passive,Daughter Of The Abyss,pct:dmgReductionPct:psychic,all,2 hexes,battle,always,L36: -33% damage taken (psychic) | L50: -33% damage taken (psychic),N,"-33% Psychic damage for allies within 2 hexes, so it only matters against Psychic attackers.",Atlacoya takes -{[dmgReduction]} Psychic Damage. Psychic Damage dealt to other friendly units within {[range]} hexes of Atlacoya is reduced by {[dmgReductionPct]}%. Enemy Psykers within {[range]} hexes receive +{[extraDmgPct]}% Damage.
Aun'Shi,Defence,Passive,Serene Unifier,pct:dmgReductionPct:all:avg=1/3:who=!Tau Empire; pct:dmgReductionPct:all:avg=1/3:who=Tau Empire:reach=2 hexes,all,adjacent,every third round,always,L36: -43% damage taken (every third round) (not Tau Empire); -43% damage taken (every third round) (Tau Empire) | L50: -50% damage taken (every third round) (not Tau Empire); -50% damage taken (every third round) (Tau Empire),N,"Round 1 of his three-round cycle: -43% damage taken. A third of the value in Always-on, full in All triggered, as on the Attack side.","Aun'Shi grants himself, and adjacent friendly units a bonus based on the current round at the beginning of his turn. Friendly T'au Empire units within {[range]} hexes also receive this bonus. The bonus lasts until the start of the unit's next turn, even if Aun'Shi is defeated. The following Buffs are granted subsequently in each round: 1: Sense of Stone: units take -{[dmgReductionPct]}% Damage 2: Zephyr's Grace: units receive +{[extraMovement]} Movement 3: Storm of Fire: units gain +{[extraDmg]} Damage After round 3, the cycle begins again and will continue to repeat until Aun'Shi is defeated."
Aun'Shi,Defence,Active,Inspired to Greatness,heal:hpToHeal,all,one,once,active,"L36: +506 health once | L50: +1,496 health once",N,"Heals the ally he gives a second active. Counted at the smaller heal, since with the Active switch on they have already used theirs.","Enables a friendly unit in an adjacent hex to use their active ability again in this battle and heals or repairs it for {[hpToHeal]} Health. For this second use, the ability is at the lowest of its own level and that of Inspired to Greatness. If that unit has not used their active ability yet, then {[hpToHeal_2]} Health is restored instead."
Azrael,Defence,Passive,Lion Helm,blockdmg:blockDmg; blockchance:blockChance:all:who=Dark Angels,all,2 hexes,battle,always,L36: +270 Block Damage; +20% block chance (Dark Angels) | L50: +797 Block Damage; +20% block chance (Dark Angels),N,"Allies block more when they block, so it needs a block chance: gear, or Dark Angels, who also get +20% block chance. The Overwatch damage is not counted.",Friendly units within {[range]} hexes block an additional {[blockDmg]} Damage when they Block and deal +{[extraDmg]} Damage with attacks triggered by Overwatch. Other friendly Dark Angels within {[range]} hexes also have their Block chance increased by +{[blockChance]}%
Baldr,Defence,Passive,Healing Balms,regen:hpToHeal,!Mechanical|LivingMetal,one,every turn,always,"L36: +1,687 health every turn | L50: +4,986 health every turn",N,When Baldr heals an ally they are healed again at the start of their next turn: an extra heal every turn on the ally he looks after. The crit part is on the Attack side.,"When Baldr uses his action to heal a friendly unit, the healed unit has +{[extraCritChance]}% Crit Chance and deals +{[extraCritDmg]} Crit Damage for {[nrOfRounds]} rounds. At the start of its next turn, the affected unit is also healed for {[hpToHeal]} Health. Baldr can heal friendly units even if they are at full Health."
Baldr,Defence,Active,Rites of Morkai,revive:hp,!Mechanical|LivingMetal,adjacent,1 round,active,"L36: back with 2,529 health once | L50: back with 7,477 health once",N,"Inspired: the first time each ally would die this round, they come back with this much health. Counted as extra health once (owner, September 2026).","Baldr and all surrounding friendly non-mechanical units become Inspired for {[nrOfRounds]} round or until they are revived. The first time each inspired unit would be defeated, it is instead revived with a maximum of {[hp]} Health, unless Overkilled. Inspired units with Final Vengeance deal +{[extraDmg]} Damage with all attacks. After using this ability, Baldr immediately performs a normal melee attack against an adjacent enemy."
Dante,Defence,Active,Light of Sanguinius,epct:dmgReductionPct:melee,all,team,1 round,active,L36: enemies deal -30% (melee) | L50: enemies deal -30% (melee),N,"The target and the enemies around it deal -30% damage for a round, counted as the melee attackers (as on the roster map). Doubled against allies at or below 50% health (not counted).","If Dante has not moved, he gains Infiltrate until the end of this turn, then charges an enemy target that has a free adjacent hex within movement range {[range]} and deals {[nrOfHits]}x {[minDmg]}-{[maxDmg]} Melta Damage to it. The target and enemy units surrounding it deal -{[dmgReductionPct]}% Damage for {[nrOfRounds]} round. This effect is doubled if they attack friendly units that are at or below {[healthPct]}% Health."
Darkstrider,Defence,Active,Fighting Retreat,flat:dmgReduction:melee; hitsless:hitsReduction:melee,all,team,1 round,active,L36: -270 damage a hit (melee); -1 hit (melee) | L50: -797 damage a hit (melee); -1 hit (melee),N,"Adjacent enemies, counted as the melee attackers (as on the roster map), deal less and score one hit fewer for a round.","Adjacent enemies gain a Markerlight. They also have {[hitsReduction]} fewer hits, to a minimum of one, and deal -{[dmgReduction]} Damage for one round. Until the end of this turn, Darkstrider and adjacent allied units with the Ranged Specialist trait gain the effect of the trait even if they started their turn adjacent to an enemy unit. Using Fighting Retreat does not end Darkstrider's turn if he is adjacent to an enemy, and he can move again if already moved in this turn."
Gibbascrapz,Defence,Passive,Kustom Force Field,armour:extraArmor:all:who=!Orks; armour:extraArmor_2:all:who=Orks,all,adjacent,battle,always,"L36: +270 Armour (not Orks); +405 Armour (Orks) | L50: +797 Armour (not Orks); +1,197 Armour (Orks)",N,+Armour for everyone next to him; Orks get more.,"All friendly adjacent units have +{[extraArmor]} Armour. Gibbascrapz and other friendly adjacent Orks have +{[extraArmor_2]} Armour instead and ignore Battle Fatigue, if they have it."
Hollan,Defence,Passive,Twisted Science,heal:hp,!Mechanical|LivingMetal,one,battle,always,"L36: +1,012 health once | L50: +2,992 health once",N,Allies he heals get this much extra maximum health until they die (once each). Counted as extra health once. The Genestealer +Damage is on the Attack side.,"Units healed by Hollan, other than himself, are affected by Twisted Science until they are defeated. Hollan can heal other unaffected units even if they are at full Health. Affected units immediately gain {[hp]} Health and their maximum Health increases by the same amount. If they are a Genestealer Cults unit, they also deal +{[extraDmg]} Damage while affected. Affected units cannot gain the effects of Twisted Science again."
Incisus,Defence,Passive,Narthecium,revive:hp,!Mechanical|LivingMetal,adjacent,once per turn,always,"L36: back with 2,023 health once | L50: back with 5,983 health once",N,"An adjacent ally who dies comes back with this much health (not if Overkilled). Counted as extra health once (owner, September 2026).","When an adjacent friendly non-Mechanical unit is defeated, it is immediately revived with a maximum of {[hp]} Health, unless Overkilled. Can only be triggered once per turn."
Incisus,Defence,Active,Combat Restoratives,heal:hpToHeal:all:who=!Imperial; heal:hpToHeal_2:all:who=Imperial,!Mechanical|LivingMetal,adjacent,once,active,"L36: +2,023 health once (not Imperial); +2,529 health once (Imperial) | L50: +5,983 health once (not Imperial); +7,477 health once (Imperial)",N,Imperial allies are healed more.,Heals himself and all adjacent friendly units for {[hpToHeal]} Health. {[hpToHeal_2]} Health if Imperial.
Isabella,Defence,Passive,Medicus Ministorum,regenhit:hpToHeal,!Mechanical|LivingMetal,adjacent,battle,always,"L36: +405 health after each attack | L50: +1,197 health after each attack",N,An adjacent ally heals this much after every attack that damages them (unless it kills them).,"Any friendly adjacent non-mechanical unit that takes Damage regenerates {[hpToHeal]} Health afterwards, unless it is defeated."
Isabella,Defence,Active,Rites of Restoration,heal:hpToHeal; revive:hp:all:who=Imperial,!Mechanical|LivingMetal,adjacent,once,active,"L36: +1,012 health once; back with 842 health once (Imperial) | L50: +2,992 health once; back with 2,493 health once (Imperial)",Y,Heals everyone next to her and brings back one fallen Imperial character with a little health. Draft: the resurrect counted as extra health once for Imperial allies. OWNER: agree?,Heals herself and all adjacent friendly units for {[hpToHeal]} Health. Resurrects {[nrOfHeroes]} random friendly Imperial Character and up to {[nrOfSummons]} random friendly Imperial Summons that have been defeated in this battle. Resurrected units appear in free adjacent hexes with {[hp]} Health and are unable to act on this turn. Only affects non-Mechanical units.
Lysander,Defence,Passive,Icon of Obstinacy,armour:extraArmor@trig,TerminatorArmour,adjacent,until his next turn,trig,L36: +135 Armour (All triggered) | L50: +400 Armour (All triggered),N,"Only when they end their turn without attacking, so All triggered only. The +Damage part is on the Attack side.","Lysander and all friendly adjacent Terminator Armour units deal +{[extraDmg]} Damage. When they end their turn without attacking, they also have +{[extraArmor]} Armour until the beginning of their next turn. The additional Damage and Armour are further increased by {[chance]}% of the affected unit's current Block Damage value."
