Name,Passive,Attack,Defence,Gear,Needs_Review,Notes,Ability_Text
Sho'syl,MV71 Sniper Drone Squad,,,,N,"Nothing for the character itself: buffs allies, reacts to enemies, or summons.","Instead of a ranged attack, Sho'syl summons a MV71 Sniper Drone and commands it to attack the target. This attack uses Sho'syl's Damage stat, while other effects, like buffs, are taken from the Drone. If Sho'syl already controls {[maxSummons]} MV71 Sniper Drones, the one with the lowest Health is removed before the new Drone is summoned. The target also gains a Markerlight until the end of Sho'syl's next turn. MV71 Sniper Drones' stats: {[summonHp]} Health {[summonDmg]} Damage {[summonArmor]} Armour"
Sibyll Devine,Nightshroud,,,,N,"Nothing for the character itself: buffs allies, reacts to enemies, or summons.",All friendly units starting their turn adjacent to Sibyll Devine gain Infiltrate for that turn and take -{[dmgReduction]} Damage from each hit in their and the next enemy turn.
Snappawrecka,Power Trip,armignore:armorIgnored,,,N,Normal attacks ignore some Armour. The full-health bonus is not counted.,"Normal attacks ignore {[armorIgnored]} Armour. If Snappawrecka is at full Health, his normal attacks additionally score +{[extraHit]} hit and reduce the target's Armour by {[armorReduction]} Armour, but also cause Snappawrecka to lose {[hpPct]}% of his maximum Health."
Snotflogga,Squig Hound,extra:1,,,N,Extra Physical hits on normal attacks. The Grots (summons) are not counted.,"Friendly Grots ignore Battle Fatigue. Snotflogga's normal attacks deal an additional {[nrOfHits]}x {[minDmg]}-{[maxDmg]} Physical Damage. After attacking, if there are less than {[maxSummons]} friendly Grots on the battlefield, they summon a Grot adjacent to the target that immediately can attack. Grot’s stats: {[summonHp]} Health {[summonDmg]} Damage"
Sword Brother Godswyl,Champion Of The Feast,extra:1:melee,,,N,Hits an adjacent enemy every turn. The Armour reduction is not counted.,"After moving, deals {[nrOfHits]}x {[minDmg]}-{[maxDmg]} Power Damage to an adjacent enemy and reduces this enemy's Armour by {[armorReduction]} Armour for the rest of the battle. If Sword Brother Godswyl does not move, then this ability triggers at the end of his turn."
Sy-Gex,Heavy Grav-Cannon,flat:extraDmg:ranged:vsMkXGravis|TerminatorArmour|Mechanical;pierce:extraPierceRatio:ranged:vsMkXGravis|TerminatorArmour|Mechanical,,,N,"Ranged vs Mk X Gravis, Terminator Armour or Mechanical targets.","Ranged attacks against MK X Gravis, Terminator Armour or Mechanical units deal +{[extraDmg]} Damage and have +{[extraPierceRatio]}% pierce ratio."
Tan Gi'da,Control Edict,,,,N,"Nothing for the character itself: buffs allies, reacts to enemies, or summons.","While Protector Imperative is active: After Tan Gi’da attacks, summon a Skitarii Vanguard in a free adjacent hex. Cannot have more than {[maxSummons]} Skitarii Vanguards summoned this way at the same time. While Conqueror Imperative is active: After Tan Gi’da attacks, all friendly adjacent Mechanical Summons also immediately attack his target if it is within range. Skitarii Vanguard stats: {[summonHp]} Health {[summonDmg]} Damage {[summonArmor]} Armour"
Tanksmasha,Smasha 'Ead,flat:extraDmg@trig,pct:dmgReductionPct@trig,,N,"Only after moving 2+ hexes, so only with traits triggered.","When he traverses 2 or more hexes during his turn, then Tanksmasha gains +{[extraDmg]} Damage for normal attacks and takes -{[dmgReductionPct]}% Damage until the start of his next turn."
Tarvakh,Trophy Taker,,,,N,Only vs targets at or below 50% health.,Tarvakh's attacks against units that are at or below {[hpPct]}% of their maximum Health deal+{[extraDmg]} Damage and an additional +{[extraCritDmg]} Crit Damage. His Crit chance is increased by {[extraCritChance]}% for each unit that he defeated this battle.
Thaddeus Noble,Spotter,,,,N,"Nothing for the character itself: buffs allies, reacts to enemies, or summons.",Other friendly units within {[range]} hexes deal +{[extraDmg]} Damage with ranged attacks. Affected units with Heavy Weapon deal +{[extraDmg_2]} Damage with ranged attacks instead.
Thaumachus,Arcane Shield,,,,N,"Nothing for the character itself: buffs allies, reacts to enemies, or summons.","After moving, Thaumachus applies a Shield to the closest friendly unit within {[range]} hexes, preferring Thousand Sons units, then other Chaos units, then other friendly units, and lastly casting it on himself if there is no other valid target. The shield has {[shieldHp]} Health and lasts one round. If Thaumachus does not move, then this ability triggers at the end of his turn."
The Patermine,Cosmic Horror,,,,N,"Nothing for the character itself: buffs allies, reacts to enemies, or summons.","Whenever the Patermine defeats an enemy, it places a decoy on the hex of that enemy. Other enemies surrounding the defeated unit have a {[chance]}% chance to be Suppressed for 1 round, and have a {[chance]}% chance to trigger Battle Fatigue a second time, if they have it. When the Patermine moves onto a decoy, it heals itself for {[hp]} Health."
Thothmek,Timesplinter Mantle,,flat:dmgReduction:one,,N,Less damage from the first attack against him each turn.,"At the start of each turn, Thothmek and all friendly adjacent Mechanical units gain Timesplinter Mantle. Affected units take -{[dmgReduction]} Damage from the first attack made by a unit against them. After being attacked or at the end of the turn, the effect ends."
Thutmose,Living Lightning,extra:1,,,N,Hits a random enemy within 2 every turn; counted on the target.,"After moving, deals {[nrOfHits]}x {[minDmg]}-{[maxDmg]} Direct Damage to a random enemy within range 2. If Thutmose does not move, then this ability triggers at the end of his turn."
Titus,Fuelled by Fury,,,,N,Builds up with actives used by allies.,Deals +{[extraDmg]} Damage with all attacks for each time a friendly Character has used an active ability this battle. The first time each turn that Titus is defeated he cannot be Overkilled. The first time each turn he defeats an enemy with an attack triggered by Final Vengeance he is immediately revived with a maximum of {[hp]} Health.
Tjark,Hunters Beyond Death,flat:extraDmg::vsPsyker,flat:dmgReduction::vsPsyker,,N,vs Psykers only (both ways).,"Deals +{[extraDmg]} Damage against Psykers, and enemy Psykers within 2 hexes deal -{[dmgReduction]} Damage. Unless they are Immune, Enemy Psykers within 2 hexes will not hit an additional unit with their normal ranged attacks."
Toth,Time Flux,,heal:hp@trig,,N,"Time-ghost revive needs him to have moved, so only with traits triggered. His regeneration is at the start of his own turn, so not counted.","At the beginning of his turn, Toth regenerates {[hpToHeal]} Health plus an additional amount equal to the Damage of the last hit he received in the last enemy turn. The total amount restored cannot exceed {[maxHpToHeal]} Health. When Toth moves, he leaves a time ghost behind on the hex he moved from. The time ghost vanishes if the hex becomes occupied by another unit or if the terrain becomes impassable (as with Broken Ice). The first time Toth dies each battle, if his time ghost is on the battlefield then he revives with {[hp]} Health remaining at its location. This works even if Toth is Overkilled."
Trajann,Legendary Commander,,,,N,"Nothing for the character itself: buffs allies, reacts to enemies, or summons.","Enemies receive +{[extraDmg]} Damage if they are adjacent to any friendly unit that has used an active ability this turn. If the affected enemies are also adjacent to Trajann, friendly Characters score {[nrOfHits]} additional hits against them with their first attack that is not a normal attack."
Typhus,Destroyer Hive,extra:1:melee,,,N,Hits a random adjacent enemy at the start of his turn.,Deals {[nrOfHits]}x {[minDmg]}-{[maxDmg]} Direct Damage to one random adjacent enemy at the start of his turn.
Tyrant Guard,Guardian Organism,,pctcap:dmgReductionPct/dmgReduction,,N,Owner-confirmed: always on. -% damage up to a maximum per hit.,"If the Tyrant Guard is within Synapse range or did not move during its previous turn, it and friendly units affected by its Big Target trait take -{[dmgReductionPct]}% Damage during the enemy's next turn, up to a maximum of -{[dmgReduction]} Damage per hit."
Tyrith,Unwavering Sentinel,,,,N,"Nothing for the character itself: buffs allies, reacts to enemies, or summons.","During each enemy turn, after Tyrith is attacked and the attacker is within range {[range]}, she deals {[nrOfHits]}x {[minDmg]}-{[maxDmg]} Bolter Damage to the attacker. If there is an enemy adjacent to Tyrith, the range of this ability is reduced to 1."
Ulf,Savage Killer,,,,N,"Nothing for the character itself: buffs allies, reacts to enemies, or summons.","When a Summon moves to or is summoned adjacent to Ulf, he immediately deals {[nrOfHits]}x {[minDmg]}-{[maxDmg]} Power Damage to it. Ulf will also perform this ability against any enemy that attempts to use an active ability while in a hex adjacent to him, in which case he deals his Damage before that unit's ability is activated."
Uthar,Grim Efficiency,armignore:armorIgnored,armourpass:extraArmor,,N,Owner-confirmed: Hostile Acquisition for his attack (ignores Armour) and Fortify Takeover for his defence (attacks go through extra Armour a second time).,Ûthar switches between two stances that affect him and all friendly units within {[range]} hexes: Fortify Takeover: Attacks against affected units have to go through an Armour value of {[extraArmor]} an additional time. Hostile Acquisition: Affected units ignore {[armorIgnored]} Armour with all attacks. The stance switches whenever Ûthar uses his active ability or traverses {[movement]} or more hexes during his turn.
Varro Tigurius,Psychic Fortress,,,,N,"Owner-confirmed: the block and Psychic reduction are for the surrounding units only, not Varro.",All friendly surrounding units have an added Block with {[blockChance]}% chance to block {[blockDmg]} Damage. Also reduces incoming Psychic Damage by {[dmgReduction]}.
Vindicta,Fire of Absolution,,,,N,"Nothing for the character itself: buffs allies, reacts to enemies, or summons.","When performing a ranged attack, also deals {[nrOfHits]}x {[dmg]} Flame Damage to all units adjacent to the target. Has a {[chance]}% chance of setting each adjacent hex on Fire as well."
Vitruvius,Master Annihilator,hits:nrOfHits:after,,,N,His attack marks the target: +1 hit from his second attack on.,"When Vitruvius performs a normal attack against an enemy, that enemy is affected by Master Annihilator until Vitruvius is defeated or performs a normal attack against a different unit. Attacks by any friendly unit against the affected enemy score an additional hit, except attacks that deal Psychic Damage. This additional hit can deal a maximum of {[maxDmg]} Damage."
Volk,Fleshmetal Guns,extra:1:ranged,,,N,The effect cycles every turn; counted as the first one (Melta hits).,"At the start of his turn, Volk gains one of three effects until the start of his next turn. The effects are granted one after the other, repeating every three turns. Volk's ranged attacks score additional hits, based on the current effect: Focused Malice: {[nrOfHits]}x {[minDmg]}-{[maxDmg]} Melta Damage Ruinous Salvo: {[nrOfHits_2]}x {[minDmg_2]}-{[maxDmg_2]} Flame Damage Warp Hail: {[nrOfHits_3]}x {[minDmg_3]}-{[maxDmg_3]} Heavy Round Damage, and these hits add Despoiled Ground to the hexes of attacked units."
Vynn,E-COG-Support,,,,N,"Nothing for the character itself: buffs allies, reacts to enemies, or summons.","Whenever Vynn repairs a friendly unit, he summons an E-COG in a free adjacent hex. Cannot have more than {[maxSummons]} E-COGs summoned this way at the same time. Vynn can repair other friendly units even if they are at full Health and if he repairs a friendly unit while {[maxSummons]} summoned E-COGs are already on the battlefield, one random summoned E-COG adjacent to Vynn also performs a repair, if possible. E-COG stats: {[summonHp]} Health {[summonDmg]} Damage {[summonArmor]} Armour"
Winged Prime,Synaptic Linchpin,,,,N,"Nothing for the character itself: buffs allies, reacts to enemies, or summons.","Whenever the Winged Prime, or another friendly unit with Synapse, performs a normal attack against an enemy and that enemy is not defeated, summons a Hormagaunt adjacent to the target, which immediately attacks the enemy. Cannot have more than {[maxSummons]} Hormagaunts summoned this way at the same time. Hormagaunt stats: {[summonHp]} Health {[summonDmg]} Damage {[summonArmor]} Armour"
Wrask,Wrathful Devotion,,heal:shieldHp@trig,,N,"The shield comes on arriving from Deep Strike or a melee kill, so only with traits triggered.","When Wrask arrives from Deep Strike or defeats an enemy in melee, he and adjacent friendly Chaos units gain a Shield with {[shieldHp]} Health for 1 round."
Xybia,Spiritual Leader,,,,N,"Nothing for the character itself: buffs allies, reacts to enemies, or summons.","After moving, places a decoy on an empty adjacent hex. Then, if there are 2 or more decoys adjacent to Xybia, summons a Neophyte Hybrid on one adjacent decoy. If Xybia does not move, then this ability triggers at the end of her turn. Neophyte Hybrid stats: {[summonHp]} Health {[summonDmg]} Damage {[summonArmor]} Armour"
Yazaghor,Reality Unbound,,,,N,"Nothing for the character itself: buffs allies, reacts to enemies, or summons.",For each different enemy unit that was dealt Psychic Damage this turn Yazaghor deals +{[extraMaxDmg]} Maximum Damage with his normal ranged attacks. If three or more different enemy units have been dealt Psychic Damage this turn he gains +{[extraMovement]} Movement and his normal ranged attack gets +{[extraRange]} Range until the end of this turn.
